epoch,step,train_loss,train_acc,val_loss,val_acc,val_top5,lr,time_s,trainable_params,total_params
1,2715,0.7223598832034713,0.9031307550644567,0.14327112206328202,0.9696132596685083,0.996316758747698,0.00029977206263342055,788.2206943035126,49799202,50348448
2,5430,0.4823509643749638,0.9671500920810313,0.10276438120759433,0.9808471454880294,0.9974217311233886,0.00029433944413581955,1575.6748628616333,49799202,50348448
3,8145,0.44670459651156685,0.9784300184162062,0.09297176110206608,0.9828729281767956,0.9985267034990792,0.0002819198422145688,2362.9156568050385,49799202,50348448
4,10860,0.427768407429999,0.9845303867403314,0.0784380441651599,0.9869244935543278,0.9988950276243094,0.0002631144477171987,3149.9296836853027,49799202,50348448
5,13575,0.41720727099239496,0.9873848987108655,0.06866885754614245,0.989134438305709,0.9998158379373849,0.000238833566072797,3936.941987514496,49799202,50348448
6,16290,0.40592981688884083,0.9907688766114181,0.08141089439062782,0.9863720073664825,0.9988950276243094,0.00021025255249058417,4723.7198169231415,49799202,50348448
7,19005,0.40087646710279895,0.9919429097605893,0.05590244902376751,0.994659300184162,0.9994475138121547,0.00017875491699670477,5509.56999206543,49799202,50348448
8,21720,0.39041258686155245,0.9950506445672191,0.047361396104920635,0.9959484346224677,0.9998158379373849,0.00014586535340162425,6295.51958322525,49799202,50348448
9,24435,0.3863516189336338,0.9963858195211787,0.06787865208273215,0.9913443830570903,0.9992633517495396,0.00011317593403890141,7081.811695814133,49799202,50348448
10,27150,0.3826616870215365,0.9974217311233886,0.05553477603811805,0.9935543278084714,0.9996316758747698,8.226904293795763e-05,7868.117483377457,49799202,50348448
11,29865,0.3794154623814929,0.9981353591160221,0.056579598619793,0.9941068139963167,0.9996316758747698,5.4640777974822305e-05,8654.603906869888,49799202,50348448
12,32580,0.3769357141759075,0.9989180478821362,0.05479389151376475,0.9942909760589319,0.9998158379373849,3.162852984319913e-05,9441.000419139862,49799202,50348448
13,35295,0.3753642193190959,0.999378453038674,0.0536896171161483,0.9950276243093923,0.9998158379373849,1.4346243502480454e-05,10227.42716217041,49799202,50348448
14,38010,0.3746799685349122,0.9994935543278085,0.05832921421879124,0.9931860036832413,0.9990791896869244,3.6304958766548044e-06,11013.921563386917,49799202,50348448
15,40725,0.3742689683951067,0.9997007366482504,0.05197332916887645,0.9950276243093923,0.9998158379373849,0.0,11800.464900255203,49799202,50348448
