epoch,ft_acc,ft_macro_f1
0,0.211864406779661,0.1968236509802844
1,0.3813559322033898,0.3651555408375528
2,0.4745762711864407,0.44079117035070425
3,0.4957627118644068,0.47075379076740104
4,0.5720338983050848,0.5327057520462495
5,0.559322033898305,0.5249658487824106
6,0.5635593220338984,0.5217110647133381
7,0.5847457627118644,0.5543921418442491
8,0.576271186440678,0.5497049468646564
9,0.5889830508474576,0.562576394798617
10,0.614406779661017,0.5928058047648691
11,0.6016949152542372,0.5781381866376107
12,0.614406779661017,0.5961452159661879
13,0.614406779661017,0.5925208977922817
14,0.614406779661017,0.6003776023057069
15,0.614406779661017,0.5997133518270653
16,0.6228813559322034,0.6051000032596178
17,0.6016949152542372,0.5912476517204983
18,0.6059322033898306,0.5965147597500539
19,0.614406779661017,0.6020451645718244
20,0.6228813559322034,0.6090563135684107
21,0.6016949152542372,0.5919553441712598
22,0.6228813559322034,0.6127653639280746
23,0.614406779661017,0.6052960285132253
24,0.6101694915254238,0.5964724778421603
25,0.6101694915254238,0.6021692422930813
26,0.6186440677966102,0.607327354470233
27,0.6186440677966102,0.6057980616733103
28,0.6228813559322034,0.6114169343429798
29,0.6186440677966102,0.6041963161345163
30,0.6313559322033898,0.6201850672241982
