epoch,step,train_loss,train_acc,val_loss,val_acc,val_top5,lr,time_s
1,2172,0.7310115654796746,,0.08610403919746863,0.9826887661141804,0.9994475138121547,0.0002997722274649974,817.5558264255524
2,4344,0.4742499072221322,,0.15563644468784332,0.9716390423572744,0.9966850828729282,0.0002943402000463875,1679.8586189746857
3,6516,0.4407074071645298,,0.0739457337456733,0.9880294659300184,0.9994475138121547,0.00028192106268097334,2496.576549053192
4,8688,0.4232541263295581,,0.04844582215857111,0.994659300184162,0.9996316758747698,0.00026311599146653443,3356.6772224903107
5,10860,0.41381797897003414,,0.05259816084009069,0.9941068139963167,0.9998158379373849,0.000238835287899747,4171.345889091492
6,13032,0.40228992321873236,,0.05527420876544264,0.9950276243093923,0.9996316758747698,0.0002102543136979454,5033.648259878159
7,15204,0.395886081372067,,0.04696783211020475,0.9966850828729282,0.9998158379373849,0.00017875659478856076,5848.066284656525
8,17376,0.38851805589750105,,0.04283716454141487,0.9974217311233886,0.9998158379373849,0.0001458668486447757,6704.11671257019
9,19548,0.38607293619854893,,0.04098112242327211,0.9977900552486187,0.9998158379373849,0.00011317717692888012,7516.428086519241
10,21720,0.380839459076661,,0.04109276425004225,0.998158379373849,0.9998158379373849,8.226999625336662e-05,8376.968319654465
11,23892,0.3788061113290585,,0.040779292995099865,0.998158379373849,0.9998158379373849,5.4641437768504824e-05,9191.890710830688
12,26064,0.37670432520999436,,0.042079629061630416,0.9976058931860037,0.9998158379373849,3.162892359054098e-05,10051.867776870728
13,28236,0.375035237267092,,0.04146705434467252,0.9983425414364641,0.9998158379373849,1.4346425895363384e-05,10866.087112426758
14,30408,0.3743966697933046,,0.04174032539513449,0.998158379373849,0.9996316758747698,3.6305426058846565e-06,11725.278009653091
15,32580,0.3744985537936235,,0.04096173894339503,0.9985267034990792,0.9996316758747698,0.0,12540.638347387314
