epoch,train_loss,val_acc,val_f1,test_acc_monitor_only
1,2.9822453008317513,0.3684210526315789,0.35666797985059345,0.3985459352280238
2,2.171401400580507,0.47368421052631576,0.4630259468873032,0.48578982154659617
3,1.8583916137585827,0.5078947368421053,0.5003316490036086,0.5287508261731659
4,1.6637710001533486,0.5578947368421052,0.548590608853302,0.5763384005287508
5,1.5302837696320342,0.5578947368421052,0.558521489380059,0.5981493721083939
6,1.413564566218961,0.5947368421052631,0.591261631583921,0.6060806345009914
7,1.3304262944578764,0.6105263157894737,0.6085297211551627,0.6259087904824852
8,1.260186147833879,0.6342105263157894,0.6310395467526978,0.6298744216787838
9,1.2193674527986533,0.6421052631578947,0.6376352257650423,0.6424322538003966
10,1.1497706518792674,0.6289473684210526,0.6246379990595275,0.6397884996695308
11,1.1130934942885107,0.6368421052631579,0.6340084352533201,0.6364838070059484
12,1.07551384458369,0.6421052631578947,0.6408931556633236,0.6437541308658294
13,1.0495628329202127,0.6473684210526316,0.6434187519570058,0.6523463317911434
14,1.0252554982090285,0.6407894736842106,0.6382745218523748,0.6463978849966953
15,1.0011521214084682,0.631578947368421,0.6264649655460399,0.6582947785855915
16,0.9957688955021768,0.6368421052631579,0.6314426796180196,0.6549900859220092
17,0.9966584092900832,0.6394736842105263,0.630823709153923,0.6543291473892928
18,0.972766253523236,0.631578947368421,0.6275983152939355,0.6483807005948447
19,0.983009169469067,0.6460526315789473,0.6385541914461309,0.6510244547257105
20,0.985244115493809,0.6526315789473685,0.6519088049217842,0.6530072703238599
