epoch,step,train_loss,train_acc,val_loss,val_acc,val_top5,lr,time_s
1,1357,0.8532502329252886,,0.11619244491197786,0.9865561694290976,0.9992633517495396,0.00029977123724883093,411.61149311065674
2,2714,0.44106611251479666,,0.08223127393432744,0.992817679558011,0.9998158379373849,0.00029433566231537855,808.1623013019562
3,4071,0.41579105505718406,,0.07977900906820982,0.992817679558011,0.9994475138121547,0.0002819137368424632,1201.8171882629395
4,5428,0.40674323098309884,,0.06940601985098907,0.9950276243093923,0.9998158379373849,0.00026310672544020767,1588.29101896286
5,6785,0.402148812218633,,0.07072369783403246,0.996316758747698,0.9994475138121547,0.0002388249531949288,1972.9139745235443
6,8142,0.3902335201411363,,0.06685260745043255,0.9959484346224677,0.9998158379373849,0.00021024374275318249,2359.5660741329193
7,9499,0.3890857386430924,,0.0632168448212836,0.9968692449355433,0.9998158379373849,0.0001787465245976716,2743.316956281662
8,10856,0.38239585270579457,,0.05860647719428904,0.9985267034990792,1.0,0.00014585787417650345,3128.917733669281
9,12213,0.37977442971115705,,0.05839564896859297,0.9977900552486187,0.9998158379373849,0.00011316971712279069,3506.4423315525055
10,13570,0.3781344689862554,,0.05756459190041979,0.9985267034990792,1.0,8.226427448989464e-05,3880.603334903717
11,14927,0.37614404386514766,,0.05666698825513021,0.9985267034990792,1.0,5.4637477722248626e-05,4264.216873168945
12,16284,0.37476447213636044,,0.054371998191538436,0.9988950276243094,1.0,3.1626560344853103e-05,4646.1844182014465
13,17641,0.37362337259571604,,0.05579435406029773,0.9985267034990792,0.9996316758747698,1.4345331186754388e-05,5020.3518171310425
14,18998,0.3733947561256307,,0.05580395490864144,0.9988950276243094,1.0,3.6302621407231447e-06,5408.090141057968
15,20355,0.37341536670462033,,0.05560476246459708,0.9988950276243094,1.0,0.0,5786.6824831962585
