epoch,step,train_loss,train_acc,val_loss,val_acc,val_top5,lr,time_s
1,2172,0.7119405857848199,,0.09933003229166262,0.9802946593001841,0.9992633517495396,0.0002997722274649974,830.38911652565
2,4344,0.46757652227720503,,0.09056471608730092,0.9887661141804788,0.9992633517495396,0.0002943402000463875,1707.338576078415
3,6516,0.4343947506686381,,0.09810948649603139,0.9839779005524862,0.9998158379373849,0.00028192106268097334,2582.8328745365143
4,8688,0.42107722961770894,,0.0693018145433886,0.9955801104972376,0.9996316758747698,0.00026311599146653443,3411.6772470474243
5,10860,0.4073273034879516,,0.06936974868480232,0.9952117863720074,0.9996316758747698,0.000238835287899747,4288.15815448761
6,13032,0.40362190463430975,,0.06277574962673925,0.9970534069981584,0.9998158379373849,0.0002102543136979454,5173.0207760334015
7,15204,0.391329276668762,,0.071509747402005,0.994659300184162,0.9998158379373849,0.00017875659478856076,6049.48800611496
8,17376,0.3869270336424887,,0.06015158539867752,0.9976058931860037,0.9998158379373849,0.0001458668486447757,6922.449854135513
9,19548,0.38201481811908067,,0.06061970581665882,0.9972375690607734,0.9998158379373849,0.00011317717692888012,7766.608787536621
10,21720,0.37920512564987985,,0.059503413646260675,0.9979742173112339,0.9996316758747698,8.226999625336662e-05,8641.075444936752
11,23892,0.37624753107407694,,0.058301493476108954,0.9983425414364641,0.9998158379373849,5.4641437768504824e-05,9516.979364156723
12,26064,0.3748599859314729,,0.05833968782512742,0.998158379373849,0.9998158379373849,3.162892359054098e-05,10392.392664909363
13,28236,0.3737931200483227,,0.057402460927462706,0.9979742173112339,0.9998158379373849,1.4346425895363384e-05,11267.340232610703
14,30408,0.37339081546603864,,0.05721024186461889,0.9985267034990792,0.9998158379373849,3.6305426058846565e-06,12172.729150772095
