epoch,step,train_loss,train_acc,val_loss,val_acc,val_top5,lr,time_s
1,2172,0.7201278873240751,,0.10454265700848722,0.980110497237569,0.9996316758747698,0.0002997722274649974,827.4515173435211
2,4344,0.4617080141277384,,0.12680221532589822,0.9793738489871087,0.9983425414364641,0.0002943402000463875,1654.9046998023987
3,6516,0.4356059710431714,,0.09162285849314808,0.988950276243094,0.9979742173112339,0.00028192106268097334,2529.241068840027
4,8688,0.421824359967893,,0.07037677027243935,0.994475138121547,0.9990791896869244,0.00026311599146653443,3359.5439496040344
5,10860,0.4060001605315542,,0.08264829535071581,0.9920810313075507,0.9996316758747698,0.000238835287899747,4185.9011154174805
6,13032,0.40047167328016536,,0.07371414072715556,0.9950276243093923,0.9988950276243094,0.0002102543136979454,5013.32835817337
7,15204,0.39358272587341936,,0.06962457862348188,0.994659300184162,0.9998158379373849,0.00017875659478856076,5884.991113185883
8,17376,0.38911768035280553,,0.07097797865806144,0.9939226519337017,0.9988950276243094,0.0001458668486447757,6709.724864721298
9,19548,0.382089921631756,,0.0626356209784362,0.9970534069981584,0.9998158379373849,0.00011317717692888012,7536.049943447113
10,21720,0.3797427346007161,,0.05673941983592664,0.998158379373849,0.9998158379373849,8.226999625336662e-05,8409.089894771576
11,23892,0.3764832732893705,,0.05883005240565067,0.9979742173112339,0.9996316758747698,5.4641437768504824e-05,9235.942589521408
12,26064,0.3753751984919193,,0.0601129817260124,0.9979742173112339,0.9996316758747698,3.162892359054098e-05,10058.712537288666
13,28236,0.3736224762450485,,0.05805660297967233,0.9983425414364641,0.9998158379373849,1.4346425895363384e-05,10927.484688043594
14,30408,0.37282035907329114,,0.06079586929818324,0.998158379373849,0.9998158379373849,3.6305426058846565e-06,11752.70439529419
15,32580,0.372727006495438,,0.05713620476191435,0.9985267034990792,0.9998158379373849,0.0,12578.55162191391
