epoch,train_loss,val_acc,val_f1,test_acc_monitor_only
1,3.0909178333897747,0.39886039886039887,0.330852810589376,0.3855932203389831
2,2.211734417946108,0.47293447293447294,0.39870407702179567,0.4491525423728814
3,1.851891997360414,0.5270655270655271,0.46837632604001705,0.4872881355932203
4,1.628329176095224,0.5555555555555556,0.5101567384267507,0.5423728813559322
5,1.489507290624803,0.5555555555555556,0.507081131843962,0.5847457627118644
6,1.3473494653740237,0.5925925925925926,0.5484952988366775,0.6101694915254238
7,1.2518802020818955,0.6011396011396012,0.5650913337887248,0.597457627118644
8,1.176132124758536,0.6296296296296297,0.5945598295652069,0.6440677966101694
9,1.0911031447110637,0.6153846153846154,0.5786945532932988,0.6567796610169492
10,1.0410371235301417,0.6324786324786325,0.5954920471032689,0.6567796610169492
11,1.0357728110205742,0.6210826210826211,0.5825206272923106,0.6652542372881356
12,0.9613812681167356,0.6467236467236467,0.6160998328690265,0.673728813559322
13,0.9137477386863001,0.6495726495726496,0.6166978114513749,0.652542372881356
14,0.906477429693745,0.6581196581196581,0.6311246124088421,0.6398305084745762
15,0.8510804825252102,0.6552706552706553,0.6280576334047347,0.6779661016949152
16,0.8272655613480075,0.6666666666666666,0.6412566874675174,0.673728813559322
17,0.8179287576387005,0.6524216524216524,0.6285770939399122,0.6991525423728814
18,0.793088311149228,0.6581196581196581,0.6233476333903034,0.6694915254237288
19,0.7775482617078289,0.6467236467236467,0.6156832934497614,0.6610169491525424
20,0.7737026839487015,0.6438746438746439,0.6195576445856246,0.6652542372881356
21,0.7427726373557122,0.6381766381766382,0.604887526699338,0.6652542372881356
22,0.7340307336661124,0.6638176638176638,0.6315697187789537,0.6610169491525424
23,0.7324875857560865,0.6467236467236467,0.6195684974171447,0.6567796610169492
24,0.7412443040840088,0.6581196581196581,0.6322110601970721,0.6440677966101694
25,0.7422980757490281,0.6467236467236467,0.6198261183363493,0.6694915254237288
26,0.7217663915887955,0.6552706552706553,0.6297377565202382,0.6822033898305084
27,0.7218749785134869,0.6410256410256411,0.6149376438999091,0.673728813559322
28,0.7185933388048603,0.6524216524216524,0.6325906064944063,0.6949152542372882
29,0.7104298938666621,0.6495726495726496,0.6235043143236148,0.6610169491525424
30,0.7162891732108209,0.6495726495726496,0.6253863074624909,0.6822033898305084
